Site,datetime,GPP_daily,ER_daily,K600_daily
HAT,2019-06-25 00:00:00,-0.018227353,-4.437195503,4.498507399
HAT,2019-06-26 00:00:00,-0.023440017,-4.460906511,4.956108214
HAT,2019-06-28 00:00:00,0.047908668,-6.297864386,7.993757782
HAT,2019-06-29 00:00:00,0.002729788,-6.994269469,8.980778609
HAT,2019-06-30 00:00:00,0.012797257,-5.382045157,7.357192654
HAT,2019-07-03 00:00:00,0.013188666,-3.282896161,4.80028531
HAT,2019-07-06 00:00:00,0.020415028,-2.995537665,4.22230112
HAT,2019-07-09 00:00:00,0.004403172,-2.149556352,2.639712901
HAT,2019-07-10 00:00:00,0.013312473,-4.067250767,4.848301332
HAT,2019-07-11 00:00:00,6.55E-04,-0.993207967,1.077706754
HAT,2019-07-13 00:00:00,0.003052311,-4.169856766,4.895773101
HAT,2019-07-18 00:00:00,0.010473311,-5.671910382,8.407332971
HAT,2019-07-19 00:00:00,0.012605015,-4.991367296,7.547965135
HAT,2019-07-20 00:00:00,0.075875071,-1.95339355,2.975297685
HAT,2019-07-22 00:00:00,0.002146651,-4.299427344,5.359026125
HAT,2019-07-23 00:00:00,-0.003012907,-4.464514264,6.132554174
HAT,2019-07-24 00:00:00,0.031973208,-0.923254379,1.231113745
HAT,2019-07-25 00:00:00,0.122735781,-0.386364429,0.088954324
HAT,2019-07-26 00:00:00,0.096865808,-3.518679769,2.044209042
HAT,2019-07-27 00:00:00,0.027672696,-8.342626809,4.394491234
HOGDN,2019-02-23 00:00:00,2.004741093,-10.99938753,6.808243141
HOGDN,2019-02-24 00:00:00,1.888010595,-12.80653694,8.590507866
HOGDN,2019-02-25 00:00:00,1.4702728,-8.069609545,7.280962287
HOGDN,2019-02-26 00:00:00,0.495708594,-7.867237094,7.894679611
HOGDN,2019-02-27 00:00:00,1.550880771,-8.423473871,6.984682572
HOGDN,2019-02-28 00:00:00,1.447921196,-10.9148304,7.891042506
HOGDN,2019-03-01 00:00:00,1.368605032,-11.46420034,9.073311152
HOGDN,2019-03-02 00:00:00,1.107714396,-7.539466422,5.719030516
HOGDN,2019-03-03 00:00:00,1.089522593,-11.24968424,7.63930471
HOGDN,2019-03-04 00:00:00,0.591782194,-10.60096624,6.465478053
HOGDN,2019-03-05 00:00:00,0.441466596,-4.949523692,4.233523122
HOGDN,2019-03-06 00:00:00,0.394066935,-5.17732931,6.027923939
HOGDN,2019-03-07 00:00:00,0.42762317,-5.10546768,6.447334179
HOGDN,2019-03-08 00:00:00,0.514678329,-5.088737102,6.128223365
HOGDN,2019-03-10 00:00:00,0.595217677,-6.637846414,7.074547766
HOGDN,2019-03-11 00:00:00,0.45492826,-5.213499621,5.884500878
HOGDN,2019-03-12 00:00:00,0.230778242,-3.725262872,5.189616722
HOGDN,2019-04-04 00:00:00,0.24778129,-4.62577199,6.243415976
HOGDN,2019-04-05 00:00:00,0.816446697,-7.144502894,9.032307207
HOGDN,2019-04-06 00:00:00,0.200575011,-4.15285411,5.310901918
HOGDN,2019-04-07 00:00:00,0.280156535,-4.621237953,5.769384999
HOGDN,2019-04-08 00:00:00,0.574169476,-7.047547388,8.584882683
HOGDN,2019-04-09 00:00:00,0.124533417,-3.601425199,3.079037951
HOGDN,2019-04-10 00:00:00,0.14792196,-5.766141538,4.583758767
HOGDN,2019-04-11 00:00:00,0.111722992,-4.754491048,4.700271453
HOGDN,2019-04-12 00:00:00,0.397874095,-6.543303895,6.73073214
HOGDN,2019-04-14 00:00:00,0.486847685,-7.052790509,7.321458101
HOGDN,2019-04-15 00:00:00,0.003732141,-3.065804589,4.929725471
HOGDN,2019-04-16 00:00:00,0.03692054,-4.289494979,6.596740949
HOGDN,2019-04-17 00:00:00,0.223902814,-4.676425467,6.623327216
HOGDN,2019-04-18 00:00:00,0.027502571,-3.581841206,4.705877697
HOGDN,2019-04-19 00:00:00,-0.029367906,-0.565118643,0.155040748
HOGDN,2019-04-20 00:00:00,0.162158003,-2.396864881,1.518079036
HOGDN,2019-04-21 00:00:00,0.086319082,-4.691059175,3.902737239
HOGDN,2019-04-22 00:00:00,0.11300501,-5.460664971,5.562710678
HOGDN,2019-04-23 00:00:00,0.017524538,-4.12009658,4.645933255
HOGDN,2019-04-24 00:00:00,0.187815959,-4.82579157,5.489327777
HOGDN,2019-04-25 00:00:00,0.183337787,-5.034347097,5.982500608
HOGDN,2019-04-26 00:00:00,0.02585666,-1.891658577,1.231290729
HOGDN,2019-04-27 00:00:00,-0.068225529,-3.552319433,3.07137083
