id,date,GPP_daily,ER_daily,K600_daily
HAT,2/24/2019,-0.029354463,-4.970259369,4.587967779
HAT,2/25/2019,-0.108007309,-2.879106304,3.450065228
HAT,2/26/2019,-0.067364034,-3.801670107,4.741486079
HAT,2/27/2019,-0.087304532,-3.697589148,4.55250704
HAT,2/28/2019,-0.139496989,-3.9818967,4.894463949
HAT,3/1/2019,-0.070199098,-2.030409887,2.242535653
HAT,3/2/2019,-0.00579862,-0.922721303,0.720911376
HAT,3/3/2019,0.016134574,-7.765000822,6.005689806
HAT,3/4/2019,-0.041727279,-6.549194791,5.098159142
HAT,3/5/2019,-0.013279372,-2.269533391,2.536273272
HAT,3/6/2019,-0.006175805,-3.823883701,4.728400831
HAT,3/7/2019,0.035254072,-4.618801408,6.160494875
HAT,3/8/2019,0.053673241,-4.65902233,6.076360235
HAT,3/9/2019,NA,NA,NA
HAT,3/10/2019,0.007010371,-3.924844076,4.321364391
HAT,3/11/2019,0.024640046,-4.82386118,5.180147114
HAT,3/12/2019,-0.093138703,-4.891382003,5.432106709
HAT,3/13/2019,-0.160103083,-3.148999841,3.912405043
HAT,3/14/2019,NA,NA,NA
HAT,3/15/2019,NA,NA,NA
HAT,3/16/2019,NA,NA,NA
HAT,3/17/2019,NA,NA,NA
HAT,3/18/2019,NA,NA,NA
HAT,3/19/2019,NA,NA,NA
HAT,3/20/2019,NA,NA,NA
HAT,3/21/2019,NA,NA,NA
HAT,3/22/2019,NA,NA,NA
HAT,3/23/2019,NA,NA,NA
HAT,3/24/2019,NA,NA,NA
HAT,3/25/2019,NA,NA,NA
HAT,3/26/2019,NA,NA,NA
HAT,3/27/2019,NA,NA,NA
HAT,3/28/2019,NA,NA,NA
HAT,3/29/2019,NA,NA,NA
HAT,3/30/2019,NA,NA,NA
HAT,3/31/2019,NA,NA,NA
HAT,4/1/2019,NA,NA,NA
HAT,4/2/2019,NA,NA,NA
HAT,4/3/2019,NA,NA,NA
HAT,4/4/2019,NA,NA,NA
HAT,4/5/2019,NA,NA,NA
HAT,4/6/2019,NA,NA,NA
HAT,4/7/2019,NA,NA,NA
HAT,4/8/2019,NA,NA,NA
HAT,4/9/2019,NA,NA,NA
HAT,4/10/2019,NA,NA,NA
HAT,4/11/2019,NA,NA,NA
HAT,4/12/2019,0.070240338,-4.539088665,8.399430581
HAT,4/13/2019,0.094635971,-3.805340186,6.880387484
HAT,4/14/2019,0.103701937,-3.277042851,5.694662725
HAT,4/15/2019,0.056879249,-2.729697559,5.194085769
HAT,4/16/2019,0.083669377,-2.5461436,5.044862859
HAT,4/17/2019,0.135328187,-2.445752429,4.352712519
HAT,4/18/2019,0.104733102,-2.845110162,4.772151089
HAT,4/19/2019,-0.06289953,-2.173338372,4.006880112
HAT,4/20/2019,-0.056721205,-2.519889752,4.625199453
HAT,4/21/2019,0.052984346,-3.656463317,7.639603078
HAT,4/22/2019,0.100381155,-3.884106574,8.65841678
HAT,4/23/2019,0.113043174,-3.014725547,6.442265352
HAT,4/24/2019,0.140850438,-2.48049163,4.952507626
HAT,4/25/2019,0.142178514,-2.43247836,4.515217451
HAT,4/26/2019,0.080235227,-2.708862132,4.735748973
HAT,4/27/2019,0.131354933,-2.76255222,5.549360114
HAT,4/28/2019,NA,NA,NA
HAT,4/29/2019,NA,NA,NA
HAT,4/30/2019,NA,NA,NA
HAT,5/1/2019,0.192676953,-0.684771643,0.528051267
HAT,5/2/2019,0.194600871,-2.413495104,3.230436184
HAT,5/3/2019,0.0428233,-3.247733078,4.183272314
HAT,5/4/2019,0.114375213,-2.486617256,3.630749808
HAT,5/5/2019,0.189348958,-1.702619349,2.620470432
HAT,5/6/2019,-0.027666105,-2.748233804,3.352010756
HAT,5/7/2019,NA,NA,NA
HAT,5/8/2019,0.025517211,-4.374874705,7.140673278
HAT,5/9/2019,0.121367997,-6.385057286,10.99454656
HAT,5/10/2019,0.075822592,-4.964405077,8.514101642
HAT,5/11/2019,0.07264279,-3.642317283,6.19827667
HAT,5/12/2019,NA,NA,NA
HAT,5/13/2019,0.094848548,-3.163131642,4.964389476
HAT,5/14/2019,0.093497063,-2.984367199,4.720725818
HAT,5/15/2019,NA,NA,NA
